,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jiuquan,0,40,39.73,98.49,44.31,6.2
1,provideniya,90,81,64.42,-173.23,48.2,17.9
2,qaanaaq,56,100,77.48,-69.36,16.68,10.22
3,khatanga,36,82,71.98,102.47,34.59,9.89
4,sitka,48,94,37.17,-99.65,64.2,0.94
5,bluff,64,41,-23.58,149.07,80.67,5.64
6,hithadhoo,76,100,-0.6,73.08,81.12,19.73
7,hofn,88,100,64.25,-15.21,40.35,26.66
8,saskylakh,24,86,71.97,114.09,31.98,12.57
9,sioux lookout,90,92,50.1,-91.92,32.0,3.62
10,georgetown,0,100,6.8,-58.16,73.4,7.31
11,cape town,0,93,-33.93,18.42,55.4,3.36
12,tiksi,24,88,71.64,128.87,28.02,4.52
13,rikitea,76,100,-23.12,-134.97,70.05,13.47
14,victoria,75,74,5.28,115.24,89.6,5.82
15,verkhnevilyuysk,32,63,63.45,120.31,36.48,3.74
16,san quintin,20,66,17.54,120.52,86.0,6.93
17,muroto,75,83,33.37,134.14,78.8,18.34
18,sayyan,0,22,15.17,44.32,71.58,3.85
19,iqaluit,90,74,63.75,-68.52,35.6,46.08
20,butaritari,0,100,3.07,172.79,85.26,7.54
21,ostrovnoy,0,98,68.05,39.51,28.65,11.34
22,nioro,0,90,13.79,-15.05,76.8,9.55
23,mahebourg,20,53,-20.41,57.7,77.0,11.41
24,bambous virieux,20,53,-20.34,57.76,77.0,11.41
25,port alfred,0,90,-33.59,26.89,62.58,6.87
26,brwinow,0,81,52.14,20.72,50.0,4.7
27,sinnamary,8,94,5.38,-52.96,81.21,11.34
28,norfolk,90,79,36.85,-76.29,77.0,5.53
29,ambon,0,93,47.55,-2.56,44.6,2.24
30,gatun,90,100,36.87,-83.3,67.46,1.95
31,mataura,24,76,-46.19,168.86,48.9,16.04
32,dingle,48,66,11.0,122.67,87.51,6.31
33,katsuura,75,78,33.93,134.5,78.8,10.29
34,new norfolk,20,51,-42.78,147.06,59.0,11.41
35,airai,0,32,-8.93,125.41,89.13,2.95
36,coquimbo,0,93,-29.95,-71.34,51.8,3.36
37,san patricio,68,63,-26.98,-56.83,61.5,5.08
38,east london,0,67,-33.02,27.91,57.2,8.05
39,springbok,0,25,-29.67,17.88,56.1,3.85
40,bredasdorp,76,93,-34.53,20.04,53.6,1.12
41,rabo de peixe,40,72,37.8,-25.58,68.0,13.87
42,meulaboh,24,100,4.14,96.13,83.46,4.63
43,ushuaia,75,69,-54.81,-68.31,39.2,6.93
44,tuatapere,64,100,-46.13,167.69,47.37,12.91
45,punta arenas,75,80,-53.16,-70.91,41.0,13.87
46,jamestown,0,39,-33.21,138.6,66.27,4.74
47,barrow,0,88,-38.31,-60.23,36.3,2.95
48,torrington,90,82,42.06,-104.18,50.0,5.82
49,qinzhou,0,47,21.96,108.62,87.42,4.41
50,ribeira grande,40,72,38.52,-28.7,68.0,4.7
51,nevesinje,0,76,43.26,18.11,53.6,5.82
52,saint-philippe,1,74,45.36,-73.48,44.6,6.93
53,grindavik,75,74,63.84,-22.43,35.6,21.92
54,skibbereen,75,100,51.55,-9.27,48.2,20.8
55,albany,75,77,42.65,-73.75,60.08,5.82
56,chokurdakh,76,89,70.62,147.9,31.98,12.91
57,tasiilaq,0,63,65.61,-37.64,30.2,9.17
58,bathsheba,40,78,13.22,-59.52,82.4,19.46
59,ulaangom,0,64,49.98,92.07,38.55,2.51
60,belmonte,0,72,40.36,-7.35,46.29,3.4
61,bethlehem,90,63,40.62,-75.38,71.06,5.82
62,cayenne,0,100,4.94,-52.33,73.4,8.77
63,avarua,75,69,-21.21,-159.78,73.4,10.29
64,hilo,75,71,19.71,-155.08,80.06,3.36
65,kruisfontein,64,86,-34.0,24.73,60.33,7.99
66,cine,0,77,37.61,28.06,73.4,2.73
67,solnechnyy,0,46,50.72,136.64,69.15,3.4
68,mnogovershinnyy,8,61,53.94,139.92,54.93,3.51
69,souillac,0,81,45.6,-0.6,55.4,6.93
